ID,date_of_loss,vehicle_type_code,vehicle_age_years,vehicle_acv,driver_age,ins_score,urbanicity_code,repair_cost_index,medical_cost_index,collision_sev,weather_cat_risk_index,report_lag_days,loss_amount,scenario,month,pred_model
ID0000001,2024-09-21,3,12,12687.0,39,3,2,1.194,1.14,1.4,0.019,1,6522.63,concept_drift,2024-09,6122.668908609141
ID0000002,2024-04-03,2,3,17640.0,34,1,1,0.907,0.833,1.4,0.605,14,6059.47,concept_drift,2024-04,5352.955814695546
ID0000003,2024-03-06,4,7,24169.0,30,2,2,1.235,1.18,1.0,0.38,0,5725.97,concept_drift,2024-03,5428.511469957991
ID0000004,2024-12-26,2,6,23179.0,69,3,2,1.196,1.033,1.2,0.446,2,6254.13,concept_drift,2024-12,5892.496619275876
ID0000005,2024-03-10,0,3,12783.0,29,1,2,1.316,1.146,1.0,0.357,5,5649.03,concept_drift,2024-03,5017.185478263524
ID0000006,2024-04-13,2,5,12518.0,46,0,2,1.245,1.217,1.2,0.172,3,5453.77,concept_drift,2024-04,4858.876846710606
ID0000007,2024-08-20,2,7,15143.0,43,0,2,1.192,1.291,1.8,0.125,0,6863.17,concept_drift,2024-08,6094.479346224256
ID0000008,2024-10-10,1,13,8575.0,26,4,1,1.048,0.931,1.8,0.379,4,7752.64,concept_drift,2024-10,7294.721258426536
ID0000009,2024-08-10,2,7,14722.0,60,1,2,1.082,1.187,1.4,0.282,0,6132.18,concept_drift,2024-08,5604.453925028232
ID0000010,2024-11-22,1,10,9180.0,35,2,2,0.986,1.198,3.2,0.792,0,11215.98,concept_drift,2024-11,9680.333899109582
ID0000011,2024-01-28,1,5,15782.0,73,3,1,1.005,1.031,1.4,0.424,0,6094.82,concept_drift,2024-01,5797.958238493304
ID0000012,2024-05-08,4,3,53429.0,69,3,0,0.899,0.897,1.4,0.626,6,6300.12,concept_drift,2024-05,5734.125913118353
ID0000013,2024-07-15,1,5,13682.0,61,1,2,1.18,1.311,1.2,0.372,1,5993.54,concept_drift,2024-07,5404.61755300307
ID0000014,2024-06-03,1,3,15681.0,39,2,2,1.193,1.142,1.2,0.234,21,6468.57,concept_drift,2024-06,5793.72331070702
ID0000015,2024-05-24,1,12,6874.0,73,3,2,1.169,1.054,1.2,0.18,4,6136.57,concept_drift,2024-05,5775.326093040265
ID0000016,2024-05-26,3,5,29294.0,55,0,0,0.866,0.898,1.1,0.463,3,4652.04,concept_drift,2024-05,3928.4998802642203
ID0000017,2024-01-06,1,9,11321.0,61,0,1,1.173,0.836,1.1,0.376,4,4646.7,concept_drift,2024-01,4259.971037501792
ID0000018,2024-02-03,1,7,13317.0,49,4,0,1.006,0.928,1.8,0.143,0,7057.61,concept_drift,2024-02,6530.824127127902
ID0000019,2024-07-11,0,5,13369.0,36,4,2,1.442,1.172,1.4,0.048,30,7129.62,concept_drift,2024-07,6691.828737196062
ID0000020,2024-06-16,2,6,17776.0,24,3,0,0.75,0.859,1.8,0.329,3,7802.17,concept_drift,2024-06,7182.363234556456
ID0000021,2024-12-11,3,8,17513.0,44,2,2,1.17,1.178,1.8,0.348,1,7441.34,concept_drift,2024-12,6799.233813812875
ID0000022,2024-03-27,0,13,5041.0,68,2,1,0.866,0.871,1.8,0.128,0,6502.22,concept_drift,2024-03,5893.248229449865
ID0000023,2024-11-25,2,4,16111.0,21,2,2,1.125,1.24,1.8,0.241,3,8096.66,concept_drift,2024-11,7628.733066151188
ID0000024,2024-04-19,2,8,17006.0,23,2,2,1.205,1.183,1.4,0.237,7,7668.08,concept_drift,2024-04,7071.703001489936
ID0000025,2024-02-14,3,11,12464.0,77,1,2,1.222,1.04,1.0,0.157,0,4952.4,concept_drift,2024-02,4514.599396403262
ID0000026,2024-03-02,0,9,10360.0,58,2,1,0.985,1.144,1.0,0.231,1,5300.12,concept_drift,2024-03,4904.025869135843
ID0000027,2024-05-20,3,1,39324.0,22,1,1,0.98,1.003,1.8,0.167,0,7302.45,concept_drift,2024-05,6626.060797887658
ID0000028,2024-03-10,1,0,17542.0,43,2,0,0.856,0.935,1.2,0.75,0,5591.0,concept_drift,2024-03,4960.264259250137
ID0000029,2024-11-13,2,3,20727.0,61,2,2,1.003,1.196,1.2,0.288,30,6395.33,concept_drift,2024-11,5755.365637874021
ID0000030,2024-10-15,1,0,20946.0,26,3,2,1.222,1.435,1.4,0.027,0,6770.5,concept_drift,2024-10,6436.014679819995
ID0000031,2024-10-21,2,0,34036.0,58,1,2,0.968,1.327,1.4,0.046,0,6058.76,concept_drift,2024-10,5459.181211929704
ID0000032,2024-06-20,1,5,16537.0,18,0,2,1.154,1.241,1.0,0.261,1,5967.58,concept_drift,2024-06,5456.526529093837
ID0000033,2024-01-12,2,13,10128.0,79,3,1,1.037,0.957,1.8,0.56,0,7129.39,concept_drift,2024-01,6605.996050709235
ID0000034,2024-04-15,1,9,6794.0,21,1,2,1.346,1.254,1.2,0.111,2,6629.88,concept_drift,2024-04,6187.904215912167
ID0000035,2024-06-14,2,5,25009.0,19,0,1,0.915,0.75,1.2,0.164,30,5638.49,concept_drift,2024-06,5088.274737447221
ID0000036,2024-08-23,1,12,6351.0,27,1,1,0.998,1.003,1.8,0.11,1,6698.33,concept_drift,2024-08,6079.139373024854
ID0000037,2024-06-04,0,11,8841.0,33,1,1,1.033,0.974,1.8,0.143,0,6569.69,concept_drift,2024-06,5986.378961552338
ID0000038,2024-08-26,1,10,11209.0,59,2,2,1.262,1.189,1.8,0.264,30,7737.17,concept_drift,2024-08,7004.048979443128
ID0000039,2024-05-16,2,12,9963.0,74,1,1,0.949,1.074,1.2,0.154,2,5274.71,concept_drift,2024-05,4764.480666617548
ID0000040,2024-08-02,2,9,12988.0,21,2,2,1.086,0.959,1.4,0.215,30,7348.63,concept_drift,2024-08,6980.015539916059
ID0000041,2024-01-07,2,0,25203.0,19,0,2,1.284,1.086,1.2,0.42,3,6351.45,concept_drift,2024-01,5817.843818976745
ID0000042,2024-11-03,0,5,12411.0,45,3,2,1.237,1.198,1.8,0.346,0,7811.49,concept_drift,2024-11,7094.179258820939
ID0000043,2024-07-25,2,7,15360.0,68,1,1,1.037,1.093,1.8,0.427,0,6748.0,concept_drift,2024-07,5903.544083640003
ID0000044,2024-02-17,0,9,10342.0,70,4,1,1.005,1.023,1.8,0.26,3,7274.23,concept_drift,2024-02,6844.194088714807
ID0000045,2024-10-23,0,9,8902.0,20,1,1,1.02,0.91,1.2,0.083,3,5858.26,concept_drift,2024-10,5594.672480244738
ID0000046,2024-05-09,2,7,16153.0,45,3,0,0.989,0.903,1.2,0.18,4,5459.57,concept_drift,2024-05,5145.1094344401145
ID0000047,2024-11-05,2,10,21546.0,54,0,1,1.054,1.094,1.2,0.029,1,4901.05,concept_drift,2024-11,4456.2774512292235
ID0000048,2024-04-22,3,11,13207.0,22,1,2,1.177,1.095,1.0,0.009,0,6134.17,concept_drift,2024-04,5526.17081678928
ID0000049,2024-11-15,3,8,16232.0,60,0,2,1.218,1.22,1.8,0.169,3,6593.1,concept_drift,2024-11,5987.836068534433
ID0000050,2024-01-19,0,13,5000.0,40,2,2,1.21,1.411,1.2,0.225,4,6478.78,concept_drift,2024-01,6113.492923156031
ID0000051,2024-06-16,3,3,32360.0,20,0,2,1.22,0.97,1.2,0.564,2,6338.52,concept_drift,2024-06,5720.158427023122
ID0000052,2024-03-20,2,6,24548.0,46,0,1,0.945,0.979,1.4,0.161,0,5382.05,concept_drift,2024-03,4692.330640352408
ID0000053,2024-06-16,2,3,27678.0,29,2,0,0.945,0.844,0.4,0.099,1,3363.83,concept_drift,2024-06,3287.7285324591708
ID0000054,2024-05-24,0,8,7154.0,44,1,1,1.062,1.096,1.8,0.499,0,6934.76,concept_drift,2024-05,6135.626446834443
ID0000055,2024-12-17,1,14,5663.0,40,3,2,1.25,0.94,1.8,0.434,2,7574.9,concept_drift,2024-12,7067.620124366349
ID0000056,2024-05-15,1,10,12882.0,56,4,1,0.851,1.005,0.4,0.038,30,4593.63,concept_drift,2024-05,4433.402256353051
ID0000057,2024-10-26,1,4,17782.0,26,3,2,1.107,1.154,3.2,0.084,14,10588.42,concept_drift,2024-10,9528.19110092672
ID0000058,2024-08-10,1,3,19715.0,53,2,2,1.363,1.266,1.4,0.544,30,7078.27,concept_drift,2024-08,6396.388373560654
ID0000059,2024-05-01,2,10,14378.0,54,4,0,0.961,0.977,1.2,0.026,1,5656.83,concept_drift,2024-05,5314.198442326139
ID0000060,2024-06-16,3,0,39442.0,31,2,0,0.963,1.025,1.4,0.063,7,5610.27,concept_drift,2024-06,5204.468528948456
ID0000061,2024-01-11,3,20,7496.0,71,2,1,0.993,1.009,1.2,0.232,7,5787.09,concept_drift,2024-01,5462.483276690824
ID0000062,2024-08-27,2,13,9259.0,51,0,1,0.991,1.125,1.0,0.221,21,5157.25,concept_drift,2024-08,4544.486755985191
ID0000063,2024-05-02,1,10,16942.0,64,1,1,0.921,0.963,1.0,0.347,1,4752.21,concept_drift,2024-05,4272.015807389181
ID0000064,2024-03-20,4,7,29016.0,78,1,1,1.081,1.13,1.8,0.066,4,6631.91,concept_drift,2024-03,5658.865674777312
ID0000065,2024-02-06,1,2,34526.0,42,1,2,1.078,1.163,1.2,0.092,1,5571.82,concept_drift,2024-02,5033.55378446872
ID0000066,2024-02-05,3,9,15940.0,31,1,2,1.258,1.124,1.2,0.119,0,5664.52,concept_drift,2024-02,5205.458040249514
ID0000067,2024-11-23,1,7,13310.0,28,3,1,0.964,0.987,1.8,0.296,0,7173.65,concept_drift,2024-11,6725.309483953969
ID0000068,2024-04-08,0,13,5567.0,79,1,1,0.925,1.078,1.4,0.182,0,5652.29,concept_drift,2024-04,5004.344483558023
ID0000069,2024-11-17,1,14,6582.0,58,4,2,1.232,1.268,1.2,0.183,1,6744.83,concept_drift,2024-11,6492.309535612943
ID0000070,2024-02-08,2,0,36733.0,52,1,1,1.048,1.017,1.8,0.236,2,6487.46,concept_drift,2024-02,5768.150732757213
ID0000071,2024-01-26,3,12,15299.0,71,1,1,0.857,0.834,1.2,0.471,30,5594.59,concept_drift,2024-01,4827.349779016562
ID0000072,2024-05-03,4,13,24609.0,78,3,0,0.882,1.031,3.2,0.236,1,9836.52,concept_drift,2024-05,8802.2406296218
ID0000073,2024-12-09,3,6,21280.0,49,0,2,1.349,1.338,1.2,0.288,0,5601.62,concept_drift,2024-12,5135.228552726644
ID0000074,2024-06-26,1,7,12585.0,67,1,0,0.92,1.032,1.8,0.345,0,6295.38,concept_drift,2024-06,5642.073202871199
ID0000075,2024-09-26,1,13,6177.0,57,3,2,1.21,1.169,1.4,0.101,0,6524.01,concept_drift,2024-09,6141.331646954093
ID0000076,2024-09-20,3,9,17374.0,33,0,2,1.12,1.556,1.0,0.224,14,5946.57,concept_drift,2024-09,4964.996443072774
