ID,date_of_loss,vehicle_type_code,vehicle_age_years,vehicle_acv,driver_age,ins_score,urbanicity_code,repair_cost_index,medical_cost_index,collision_sev,weather_cat_risk_index,report_lag_days,loss_amount,scenario,month,pred_model
ID0000001,2024-09-21,0,17,4087.0,39,3,2,1.395,1.443,1.8,0.659,6,7842.62,data_drift,2024-09,7636.8984948011675
ID0000002,2024-04-03,2,3,18031.0,34,1,1,1.111,1.282,1.8,0.575,30,6470.28,data_drift,2024-04,6562.100286079625
ID0000003,2024-03-06,2,20,5878.0,30,2,1,1.02,1.518,1.4,0.684,23,7025.86,data_drift,2024-03,6991.009788218407
ID0000004,2024-12-26,0,3,11107.0,69,3,2,1.477,0.926,1.8,0.423,2,6851.04,data_drift,2024-12,6516.756497232787
ID0000005,2024-03-10,3,11,21013.0,29,1,2,1.263,1.219,1.0,0.76,8,5229.29,data_drift,2024-03,5753.903187031591
ID0000006,2024-04-13,3,15,11332.0,46,0,2,1.441,1.58,3.2,0.896,13,9472.91,data_drift,2024-04,9766.789287415544
ID0000007,2024-08-20,2,17,10803.0,43,0,2,1.275,1.482,3.2,0.696,30,8622.53,data_drift,2024-08,9644.967896847455
ID0000008,2024-10-10,3,7,27642.0,26,4,1,1.08,1.156,1.8,0.571,3,7234.67,data_drift,2024-10,7371.646009444157
ID0000009,2024-08-10,4,21,35035.0,60,1,2,1.38,1.583,0.4,0.948,30,4705.1,data_drift,2024-08,5635.84499067084
ID0000010,2024-11-22,2,17,7748.0,35,2,2,1.194,1.107,1.8,0.463,7,7362.56,data_drift,2024-11,7128.299762781324
ID0000011,2024-01-28,2,11,15614.0,73,3,1,0.978,1.52,0.4,0.888,3,4854.91,data_drift,2024-01,4696.904838605339
ID0000012,2024-05-08,2,11,14751.0,69,3,1,1.178,1.277,1.4,0.622,15,6979.18,data_drift,2024-05,6415.875852577292
ID0000013,2024-07-15,2,19,30067.0,61,1,2,1.426,1.176,1.8,0.505,11,6943.52,data_drift,2024-07,6870.7301161278465
ID0000014,2024-06-03,2,11,9993.0,39,2,1,0.969,1.309,1.8,0.465,7,6695.24,data_drift,2024-06,6985.252237048633
ID0000015,2024-05-24,2,12,9751.0,73,3,2,1.078,1.454,1.8,0.856,23,8195.98,data_drift,2024-05,8112.34380945279
ID0000016,2024-05-26,4,16,17820.0,55,0,2,1.15,1.405,1.8,0.544,30,7005.55,data_drift,2024-05,7045.496166671805
ID0000017,2024-01-06,4,3,72758.0,61,0,1,1.01,1.398,1.4,0.776,4,4691.81,data_drift,2024-01,5489.011259893272
ID0000018,2024-02-03,1,20,5605.0,49,4,2,1.356,1.284,1.8,0.616,2,8389.89,data_drift,2024-02,7942.049724537471
ID0000019,2024-07-11,2,8,6940.0,36,4,2,1.48,1.584,1.4,0.933,13,7890.34,data_drift,2024-07,7410.204752253463
ID0000020,2024-06-16,3,14,5792.0,24,3,2,1.337,1.399,1.8,0.743,2,9509.73,data_drift,2024-06,8547.618515997532
ID0000021,2024-12-11,3,22,10375.0,44,2,0,0.838,1.347,1.8,0.921,3,6385.83,data_drift,2024-12,7117.211191306152
ID0000022,2024-03-27,3,13,16745.0,68,2,1,1.172,1.477,0.4,0.771,3,4598.87,data_drift,2024-03,4574.654018332441
ID0000023,2024-11-25,2,7,18888.0,21,2,2,1.124,1.416,1.4,0.738,23,7630.52,data_drift,2024-11,7578.891782231508
ID0000024,2024-04-19,3,13,9584.0,23,2,2,1.421,1.392,1.8,0.799,4,8557.68,data_drift,2024-04,8484.376476298992
ID0000025,2024-02-14,2,13,6346.0,77,1,0,1.027,1.412,1.4,0.857,30,6138.99,data_drift,2024-02,6124.17821507263
ID0000026,2024-03-02,4,14,20050.0,58,2,2,1.371,1.414,1.4,0.749,8,6901.6,data_drift,2024-03,6742.190040331983
ID0000027,2024-05-20,2,20,6167.0,22,1,1,1.138,1.091,1.2,0.502,4,6812.46,data_drift,2024-05,6207.366292597379
ID0000028,2024-03-10,2,4,18644.0,43,2,1,1.083,1.429,1.4,0.905,6,6299.29,data_drift,2024-03,5986.314780643879
ID0000029,2024-11-13,4,10,20733.0,61,2,2,1.24,1.323,3.2,0.623,22,8081.93,data_drift,2024-11,9966.28804652487
ID0000030,2024-10-15,3,22,3512.0,26,3,1,1.079,1.115,1.4,0.785,7,6940.82,data_drift,2024-10,6824.69349563235
ID0000031,2024-10-21,1,17,10484.0,58,1,2,1.268,1.475,1.4,0.816,7,6881.51,data_drift,2024-10,6708.888026833183
ID0000032,2024-06-20,2,4,32436.0,18,0,1,0.809,1.488,1.4,0.761,30,5911.28,data_drift,2024-06,6789.994291384711
ID0000033,2024-01-12,1,23,5194.0,79,3,1,1.048,1.639,0.4,0.979,30,5872.44,data_drift,2024-01,6016.410505806063
ID0000034,2024-04-15,2,2,56500.0,21,1,2,1.376,1.527,1.4,0.825,5,6018.27,data_drift,2024-04,7335.873433362366
ID0000035,2024-06-14,2,6,31684.0,19,0,1,1.116,1.755,0.4,0.973,14,5588.46,data_drift,2024-06,4934.221830727415
ID0000036,2024-08-23,3,19,17680.0,27,1,2,1.326,1.818,0.4,0.976,30,5844.45,data_drift,2024-08,5942.75054565903
ID0000037,2024-06-04,1,9,23805.0,33,1,2,1.187,1.06,1.2,0.331,0,5378.0,data_drift,2024-06,5295.173548709067
ID0000038,2024-08-26,2,8,28017.0,59,2,2,1.372,0.997,1.8,0.388,0,6752.37,data_drift,2024-08,6505.7697590946955
ID0000039,2024-05-16,2,6,14043.0,74,1,2,1.354,1.034,1.8,0.611,6,5994.63,data_drift,2024-05,6267.627935446329
ID0000040,2024-08-02,2,25,11839.0,21,2,2,1.359,1.084,1.2,0.405,15,6974.15,data_drift,2024-08,6700.294343686462
ID0000041,2024-01-07,3,8,31105.0,19,0,2,1.566,1.263,1.0,0.531,3,6625.57,data_drift,2024-01,5954.179000208652
ID0000042,2024-11-03,4,15,14118.0,45,3,2,1.42,1.296,1.8,0.65,15,8184.52,data_drift,2024-11,7850.897081281021
ID0000043,2024-07-25,0,25,3784.0,68,1,2,1.27,1.419,1.0,0.889,7,5777.61,data_drift,2024-07,5808.907177510535
ID0000044,2024-02-17,3,0,52908.0,70,4,2,1.184,1.625,1.4,0.912,3,7958.55,data_drift,2024-02,7021.078355630106
ID0000045,2024-10-23,3,8,17180.0,20,1,2,1.502,1.492,1.4,0.947,8,8022.16,data_drift,2024-10,7020.212605743145
ID0000046,2024-05-09,2,13,20770.0,45,3,1,1.108,1.434,1.4,0.52,3,7291.59,data_drift,2024-05,6708.035436995146
ID0000047,2024-11-05,3,18,8958.0,54,0,1,0.932,1.231,1.8,0.692,4,6782.7,data_drift,2024-11,6306.599059989962
ID0000048,2024-04-22,2,7,20033.0,22,1,1,0.879,1.42,3.2,0.832,30,10946.14,data_drift,2024-04,10556.493379891297
ID0000049,2024-11-15,1,7,36087.0,60,0,2,1.309,1.311,1.4,0.666,3,6109.97,data_drift,2024-11,5586.789335952905
ID0000050,2024-01-19,2,18,21830.0,40,2,1,1.098,1.068,1.4,0.734,2,6305.81,data_drift,2024-01,6243.2245744723905
ID0000051,2024-06-16,0,16,5268.0,20,0,2,1.325,1.235,1.8,0.714,2,8233.29,data_drift,2024-06,7485.446192761184
ID0000052,2024-03-20,2,3,21743.0,46,0,1,1.148,1.147,1.8,0.632,4,6362.66,data_drift,2024-03,5959.380005828075
ID0000053,2024-06-16,2,9,11610.0,29,2,2,1.246,1.145,1.8,0.832,2,6360.25,data_drift,2024-06,7088.55726020866
ID0000054,2024-05-24,0,13,17104.0,44,1,2,1.282,1.305,1.8,0.782,16,7298.83,data_drift,2024-05,7192.726525185857
ID0000055,2024-12-17,3,8,9251.0,40,3,2,1.559,1.193,1.4,0.52,3,5974.03,data_drift,2024-12,6437.274057728407
ID0000056,2024-05-15,4,13,18158.0,56,4,2,1.284,0.879,1.2,0.231,30,7235.72,data_drift,2024-05,6296.714670026782
ID0000057,2024-10-26,3,24,6747.0,26,3,2,1.422,1.618,1.4,0.911,5,8399.23,data_drift,2024-10,7461.302070318592
ID0000058,2024-08-10,2,10,18233.0,53,2,1,1.132,1.231,1.8,0.728,11,7067.1,data_drift,2024-08,6798.364711285583
ID0000059,2024-05-01,4,23,8884.0,54,4,2,1.372,1.288,1.8,0.791,16,7984.63,data_drift,2024-05,8340.60860324652
ID0000060,2024-06-16,2,13,11988.0,31,2,2,1.146,1.419,1.0,0.886,30,7016.64,data_drift,2024-06,6432.849033331386
ID0000061,2024-01-11,1,0,37313.0,71,2,2,1.465,1.649,1.4,0.937,10,7312.53,data_drift,2024-01,6378.3971206563265
ID0000062,2024-08-27,2,25,7355.0,51,0,1,1.145,0.85,1.2,0.247,30,4859.31,data_drift,2024-08,4867.394719084028
ID0000063,2024-05-02,1,24,3311.0,64,1,1,1.031,1.108,1.8,0.569,2,6536.46,data_drift,2024-05,6257.516824524277
ID0000064,2024-03-20,2,11,22349.0,78,1,1,1.163,1.278,3.2,0.495,30,9777.6,data_drift,2024-03,9352.471254374988
ID0000065,2024-02-06,1,17,9495.0,42,1,2,1.207,1.247,1.8,0.527,2,6933.83,data_drift,2024-02,6978.941722855682
ID0000066,2024-02-05,3,18,15380.0,31,1,2,1.297,1.028,1.2,0.279,2,5457.06,data_drift,2024-02,5448.951160603725
ID0000067,2024-11-23,2,7,17754.0,28,3,0,1.069,1.092,1.8,0.495,2,5912.39,data_drift,2024-11,6697.546439897246
ID0000068,2024-04-08,3,0,40820.0,79,1,2,1.388,1.095,1.8,0.467,15,5446.27,data_drift,2024-04,5998.285195840412
ID0000069,2024-11-17,3,20,4917.0,58,4,2,1.499,1.66,1.4,0.797,17,8382.71,data_drift,2024-11,7645.780430955886
ID0000070,2024-02-08,4,15,24620.0,52,1,2,1.389,1.131,1.8,0.377,4,6693.62,data_drift,2024-02,6743.877428296555
ID0000071,2024-01-26,1,7,26155.0,71,1,2,1.128,1.491,1.4,0.921,13,7045.83,data_drift,2024-01,6112.101760095408
ID0000072,2024-05-03,3,1,38851.0,78,3,2,1.544,1.518,1.4,0.925,7,7206.05,data_drift,2024-05,6537.48500321917
ID0000073,2024-12-09,3,17,6870.0,49,0,2,1.211,1.203,1.8,0.775,1,6753.67,data_drift,2024-12,6761.701325396839
ID0000074,2024-06-26,1,16,8780.0,67,1,2,1.217,1.388,1.8,0.88,8,7189.39,data_drift,2024-06,7107.930990934435
ID0000075,2024-09-26,2,23,4161.0,57,3,1,1.053,1.323,1.8,0.675,4,7618.58,data_drift,2024-09,7307.7513883178435
ID0000076,2024-09-20,2,19,10460.0,33,0,2,1.242,1.594,1.4,0.892,13,6807.04,data_drift,2024-09,6684.217124250947
ID0000077,2024-08-28,4,25,5799.0,78,2,1,1.164,1.325,1.8,0.9,9,6886.15,data_drift,2024-08,7040.308175353746
ID0000078,2024-11-10,4,3,52074.0,20,2,2,1.538,1.306,1.4,0.83,16,6999.17,data_drift,2024-11,7737.914060521193
ID0000079,2024-04-21,2,17,11255.0,39,0,2,1.625,1.529,1.4,0.947,10,6793.19,data_drift,2024-04,6334.227986457002
ID0000080,2024-01-07,2,25,7082.0,67,2,2,1.141,1.039,1.2,0.635,1,5867.19,data_drift,2024-01,5871.825659994749
ID0000081,2024-02-16,4,10,46836.0,79,3,1,0.926,1.459,1.4,0.862,16,6890.63,data_drift,2024-02,6648.501321747779
ID0000082,2024-12-05,4,25,16259.0,27,2,2,1.328,1.273,1.8,0.554,5,6498.51,data_drift,2024-12,7393.0524681841425
ID0000083,2024-02-11,3,4,18544.0,52,2,1,1.05,1.327,1.8,0.637,2,6509.72,data_drift,2024-02,6715.518561388926
ID0000084,2024-09-15,0,12,16557.0,38,1,2,1.024,1.497,1.4,0.952,30,6167.01,data_drift,2024-09,6845.278973248276
ID0000085,2024-06-11,2,3,23957.0,36,4,2,1.287,1.773,1.1,0.994,8,7306.68,data_drift,2024-06,6653.929495154102
ID0000086,2024-12-27,3,18,28574.0,20,1,2,1.103,1.785,1.1,0.984,5,8178.99,data_drift,2024-12,6935.40629303819
ID0000087,2024-12-16,0,25,2500.0,38,2,2,1.217,0.894,1.8,0.609,2,7805.66,data_drift,2024-12,7040.498682685988
ID0000088,2024-02-23,2,17,9370.0,58,0,0,1.129,1.155,1.8,0.701,1,5790.78,data_drift,2024-02,5939.16382088148
ID0000089,2024-01-28,2,11,20971.0,73,2,2,1.23,1.371,1.4,0.914,2,6517.11,data_drift,2024-01,6577.3913135960565
ID0000090,2024-05-28,3,5,23817.0,32,0,2,1.319,0.85,1.2,0.279,3,4870.36,data_drift,2024-05,4629.522774159521
ID0000091,2024-06-15,2,2,37807.0,64,0,2,1.261,1.209,3.2,0.395,30,8744.49,data_drift,2024-06,8573.121527475305
ID0000092,2024-07-11,4,19,9714.0,78,0,2,1.038,1.223,3.2,0.656,30,9892.99,data_drift,2024-07,9001.877028671795
