ID,date_of_loss,vehicle_type_code,vehicle_age_years,vehicle_acv,driver_age,ins_score,urbanicity_code,repair_cost_index,medical_cost_index,collision_sev,weather_cat_risk_index,report_lag_days,loss_amount,scenario,month,pred_model
ID0000001,2024-12-21,3,3,38344.0,48,0,1,1.085,0.938,1.8,0.358,2,5627.75,good,2024-12,5554.1040080723105
ID0000002,2024-08-10,0,0,14444.0,35,0,1,1.065,1.034,1.4,0.613,1,5320.12,good,2024-08,5128.9374669755425
ID0000003,2024-09-24,1,6,16773.0,40,0,1,1.072,0.927,1.4,0.358,10,4581.76,good,2024-09,4911.155111704823
ID0000004,2024-11-05,4,8,33688.0,36,3,1,0.966,1.203,1.2,0.501,2,6105.95,good,2024-11,5922.76031749155
ID0000005,2024-07-01,2,1,28020.0,65,2,1,1.036,1.167,1.2,0.372,10,4885.66,good,2024-07,5170.818537036467
ID0000006,2024-10-19,2,11,10318.0,76,2,0,0.955,0.937,1.2,0.438,0,4474.2,good,2024-10,4829.352643354049
ID0000007,2024-11-01,1,13,6160.0,34,0,2,1.148,1.064,1.0,0.361,1,4707.36,good,2024-11,4740.08175183572
ID0000008,2024-03-12,0,3,17760.0,52,1,0,0.888,0.881,1.0,0.105,1,4098.43,good,2024-03,3773.16936449902
ID0000009,2024-01-19,1,7,17294.0,36,1,2,1.308,1.226,1.8,0.081,1,6403.92,good,2024-01,6342.434881754339
ID0000010,2024-04-08,1,1,19085.0,52,0,2,1.259,1.233,1.4,0.063,21,5382.56,good,2024-04,5224.658617195395
ID0000011,2024-04-08,3,13,11725.0,47,2,2,1.161,1.02,0.4,0.08,1,4301.67,good,2024-04,4001.665769847268
ID0000012,2024-11-07,2,4,19958.0,47,3,0,0.855,0.957,1.0,0.285,0,4533.53,good,2024-11,4893.057146392243
ID0000013,2024-11-01,2,2,27608.0,55,2,2,1.093,1.106,1.4,0.282,5,6152.48,good,2024-11,5869.814053822167
ID0000014,2024-01-27,2,0,28504.0,69,1,1,0.994,0.86,1.2,0.026,2,4542.49,good,2024-01,4298.927666877433
ID0000015,2024-06-19,2,3,31524.0,25,0,1,0.88,1.253,1.4,0.361,14,5115.99,good,2024-06,5311.2266124144935
ID0000016,2024-10-14,1,0,26444.0,25,2,2,1.083,1.26,1.4,0.408,2,6653.99,good,2024-10,6193.82126844264
ID0000017,2024-02-06,2,13,12443.0,22,3,1,0.916,1.058,1.2,0.306,10,6988.58,good,2024-02,6574.7954080944155
ID0000018,2024-10-28,2,11,10655.0,21,1,1,0.82,0.943,1.4,0.101,5,6477.19,good,2024-10,6007.248699525809
ID0000019,2024-02-06,3,2,21618.0,51,1,0,0.863,0.959,1.2,0.041,0,3251.52,good,2024-02,4117.126401427632
ID0000020,2024-06-09,2,3,22241.0,45,0,1,1.027,0.936,1.2,0.174,3,4017.09,good,2024-06,4255.772666758277
ID0000021,2024-10-12,0,8,12650.0,34,1,1,0.903,1.085,1.4,0.088,4,5576.09,good,2024-10,5331.714889403105
ID0000022,2024-04-07,4,8,33965.0,44,1,1,1.037,1.062,1.0,0.247,7,4939.43,good,2024-04,4588.671985074361
ID0000023,2024-05-17,0,3,13636.0,63,2,2,1.103,1.019,1.1,0.069,0,4288.36,good,2024-05,4923.588077211549
ID0000024,2024-04-21,1,15,8031.0,60,2,2,1.354,1.267,1.2,0.166,3,5932.93,good,2024-04,5861.047537011217
ID0000025,2024-09-01,2,11,14984.0,21,1,1,0.904,1.037,1.4,0.158,21,6018.8,good,2024-09,6248.827544585019
ID0000026,2024-04-26,3,18,6788.0,76,4,1,0.966,1.178,1.8,0.313,2,6678.66,good,2024-04,7128.038125678688
ID0000027,2024-12-11,4,0,75989.0,41,3,2,1.111,1.163,1.0,0.419,0,5689.87,good,2024-12,5486.388849610648
ID0000028,2024-06-05,2,0,40507.0,78,1,2,1.215,1.243,1.2,0.271,30,5449.96,good,2024-06,5226.408707959749
ID0000029,2024-06-02,1,12,6477.0,33,2,0,0.939,0.877,1.4,0.246,14,4970.91,good,2024-06,5478.3571950937685
ID0000030,2024-07-25,0,9,8129.0,35,1,1,0.997,0.875,1.2,0.178,21,5819.39,good,2024-07,5071.798609070104
ID0000031,2024-07-11,2,7,21816.0,38,0,0,0.869,0.917,1.4,0.133,0,4702.92,good,2024-07,4419.014458104562
ID0000032,2024-07-17,2,2,38923.0,51,2,1,1.044,0.923,1.4,0.363,6,4677.49,good,2024-07,5324.022924534124
ID0000033,2024-07-03,0,10,10730.0,53,0,1,1.097,1.143,3.2,0.18,30,7715.49,good,2024-07,8328.305086558314
ID0000034,2024-12-26,2,5,17301.0,30,2,1,1.04,0.997,1.4,0.301,10,6001.49,good,2024-12,5710.273600381558
ID0000035,2024-10-25,4,15,14752.0,21,0,2,1.209,1.104,1.4,0.253,21,6946.0,good,2024-10,6404.193641226532
ID0000036,2024-10-27,1,13,10174.0,74,2,2,1.335,1.276,1.8,0.237,1,6549.39,good,2024-10,6746.681782890032
ID0000037,2024-09-21,2,13,9653.0,58,0,2,1.152,1.076,1.8,0.349,6,5841.3,good,2024-09,6182.317933042354
ID0000038,2024-08-12,1,0,23304.0,60,3,1,1.016,0.877,3.2,0.327,0,8484.83,good,2024-08,8557.153331966843
ID0000039,2024-05-08,2,10,13327.0,20,0,0,0.903,1.004,3.2,0.107,0,8425.59,good,2024-05,8645.07084001841
ID0000040,2024-12-27,0,17,5224.0,79,1,0,0.886,0.967,1.8,0.307,30,5215.48,good,2024-12,5682.813356772068
ID0000041,2024-06-14,3,17,6649.0,56,0,2,1.059,1.29,1.4,0.228,3,5770.41,good,2024-06,5626.806695808638
ID0000042,2024-03-06,1,14,5373.0,47,2,1,0.923,1.114,1.8,0.31,14,6379.44,good,2024-03,6529.6009944946645
ID0000043,2024-11-15,2,14,8397.0,66,2,1,0.914,0.961,3.2,0.282,10,8176.04,good,2024-11,8689.827121786582
ID0000044,2024-02-13,1,4,24543.0,76,0,1,0.887,1.021,1.2,0.349,3,3702.49,good,2024-02,4290.461898983291
ID0000045,2024-11-04,1,15,10143.0,21,2,2,1.274,1.092,1.4,0.312,1,7233.79,good,2024-11,7050.805461580797
ID0000046,2024-08-13,4,17,20893.0,64,1,2,1.103,1.112,1.8,0.751,0,6856.4,good,2024-08,6749.028507273897
ID0000047,2024-02-01,1,10,8645.0,70,0,2,1.18,1.165,3.2,0.368,1,9222.65,good,2024-02,8444.52363837314
ID0000048,2024-01-07,4,11,18489.0,51,3,1,1.041,0.936,3.2,0.111,2,8612.38,good,2024-01,8746.704022205695
ID0000049,2024-06-25,3,7,21726.0,50,1,1,0.967,0.932,1.0,0.328,3,4422.84,good,2024-06,4435.158081590438
ID0000050,2024-01-14,2,9,14458.0,25,2,1,1.09,0.995,1.0,0.186,3,5251.7,good,2024-01,5065.847255478565
ID0000051,2024-02-08,2,6,15357.0,42,2,1,0.967,1.09,1.4,0.092,21,5689.22,good,2024-02,5757.839055247117
ID0000052,2024-07-22,0,10,9036.0,30,3,1,1.041,1.102,1.4,0.388,0,6422.33,good,2024-07,6147.480592871243
ID0000053,2024-12-19,3,7,15827.0,21,4,2,1.239,1.178,1.0,0.439,3,5901.62,good,2024-12,7038.2114492113315
ID0000054,2024-06-04,2,0,40890.0,27,0,1,0.921,0.868,1.4,0.321,4,4044.66,good,2024-06,4551.107098136328
ID0000055,2024-10-01,2,5,22558.0,48,1,2,1.237,1.333,1.8,0.15,2,7093.1,good,2024-10,6518.022145227048
ID0000056,2024-12-14,3,10,14478.0,23,2,1,1.04,0.832,1.4,0.396,1,5700.52,good,2024-12,6283.563757821836
ID0000057,2024-10-13,2,9,11566.0,38,3,2,1.142,1.198,1.0,0.058,0,5480.43,good,2024-10,5593.658561656261
ID0000058,2024-08-15,1,15,6519.0,66,0,1,0.951,0.917,1.4,0.511,1,5412.64,good,2024-08,4981.244848833699
ID0000059,2024-06-18,2,13,11219.0,70,1,1,1.089,1.035,1.4,0.157,1,5317.41,good,2024-06,5152.000876538973
ID0000060,2024-07-06,2,14,11924.0,35,0,1,1.082,1.009,1.2,0.545,1,5417.58,good,2024-07,5060.3094439281795
ID0000061,2024-04-18,2,8,17121.0,65,2,2,1.033,0.947,1.0,0.245,1,5597.47,good,2024-04,4890.0421423102525
ID0000062,2024-06-18,1,13,7671.0,74,1,2,1.135,0.902,1.8,0.187,1,5898.09,good,2024-06,5932.673129595482
ID0000063,2024-05-10,1,4,11872.0,35,3,0,0.996,0.98,1.4,0.652,5,6914.74,good,2024-05,6011.75020009723
ID0000064,2024-03-08,1,5,12818.0,38,3,1,0.991,1.051,1.8,0.081,5,5521.76,good,2024-03,6513.539713866011
ID0000065,2024-12-23,3,12,13391.0,23,0,0,0.917,0.914,1.4,0.285,4,6042.54,good,2024-12,5276.458686248333
ID0000066,2024-01-16,4,9,29285.0,47,0,1,1.107,0.944,1.4,0.118,2,4371.23,good,2024-01,4719.474708034307
ID0000067,2024-02-20,4,4,37337.0,74,4,2,1.237,1.411,0.4,0.087,1,4742.29,good,2024-02,4801.395946956023
ID0000068,2024-03-17,2,13,8147.0,52,0,2,1.243,1.23,1.2,0.349,3,5484.34,good,2024-03,5215.877423741449
ID0000069,2024-12-14,3,15,8194.0,41,0,2,1.209,1.285,1.4,0.152,6,5704.95,good,2024-12,5689.099414589756
ID0000070,2024-09-21,0,12,6141.0,22,2,1,0.928,1.089,1.4,0.227,0,7098.72,good,2024-09,6559.830750923332
ID0000071,2024-11-03,1,15,7454.0,41,4,1,0.929,0.986,1.2,0.37,0,6055.4,good,2024-11,6257.206539528957
ID0000072,2024-03-27,4,13,17970.0,23,2,1,0.939,1.049,1.8,0.149,0,7158.75,good,2024-03,7224.626744612559
ID0000073,2024-09-21,1,13,6048.0,57,1,2,1.032,1.223,1.2,0.223,21,5204.54,good,2024-09,5573.933368186244
ID0000074,2024-05-26,1,4,15391.0,28,2,1,0.952,0.938,1.2,0.239,2,5556.56,good,2024-05,5195.970809359856
ID0000075,2024-06-05,1,0,20991.0,47,4,1,1.071,0.934,1.2,0.186,6,5669.95,good,2024-06,5554.944511434625
ID0000076,2024-01-15,3,6,28991.0,79,3,2,1.163,1.209,1.4,0.305,5,6066.54,good,2024-01,6172.870274409947
ID0000077,2024-08-15,4,0,54231.0,36,3,1,1.084,0.924,1.2,0.106,4,5195.93,good,2024-08,5237.763975452533
ID0000078,2024-10-08,0,5,10555.0,73,0,2,1.121,1.264,1.1,0.303,4,4638.07,good,2024-10,4592.872883851773
