ID,date_of_loss,vehicle_type_code,vehicle_age_years,vehicle_acv,driver_age,ins_score,urbanicity_code,repair_cost_index,medical_cost_index,collision_sev,weather_cat_risk_index,report_lag_days,loss_amount,scenario,month,pred_model
ID0000001,9/21/2024,3,12,12687,39,3,2,1.194,1.14,1.4,0.019,1,6208.57,performance_drift,2024-09,5753.639017
ID0000002,4/3/2024,2,3,17640,34,1,1,0.907,0.833,1.4,0.605,14,5358.47,performance_drift,2024-04,5041.324948
ID0000003,3/6/2024,4,7,24169,30,2,2,1.235,1.18,1,0.38,0,5248.9,performance_drift,2024-03,5753.639017
ID0000004,12/26/2024,2,6,23179,69,3,2,1.196,1.033,1.2,0.446,2,5855.73,performance_drift,2024-12,5753.639017
ID0000005,3/10/2024,0,3,12783,29,1,2,1.316,1.146,1,0.357,5,5214.5,performance_drift,2024-03,5041.324948
ID0000006,4/13/2024,2,5,12518,46,0,2,1.245,1.217,1.2,0.172,3,4836.5,performance_drift,2024-04,5041.324948
ID0000007,8/20/2024,2,7,15143,43,0,2,1.192,1.291,1.8,0.125,0,6152.47,performance_drift,2024-08,6069.48688
ID0000008,10/10/2024,1,13,8575,26,4,1,1.048,0.931,1.8,0.379,4,7312.97,performance_drift,2024-10,6733.38182
ID0000009,8/10/2024,2,7,14722,60,1,2,1.082,1.187,1.4,0.282,0,5507.96,performance_drift,2024-08,5041.324948
ID0000010,11/22/2024,1,10,9180,35,2,2,0.986,1.198,3.2,0.792,0,9673.02,performance_drift,2024-11,9219.214917
ID0000011,1/28/2024,1,5,15782,73,3,1,1.005,1.031,1.4,0.424,0,5439.8,performance_drift,2024-01,5753.639017
ID0000012,5/8/2024,4,3,53429,69,3,0,0.899,0.897,1.4,0.626,6,5693.37,performance_drift,2024-05,5753.639017
ID0000013,7/15/2024,1,5,13682,61,1,2,1.18,1.311,1.2,0.372,1,5362.22,performance_drift,2024-07,5041.324948
ID0000014,6/3/2024,1,3,15681,39,2,2,1.193,1.142,1.2,0.234,21,6104.36,performance_drift,2024-06,5753.639017
ID0000015,5/24/2024,1,12,6874,73,3,2,1.169,1.054,1.2,0.18,4,5857.4,performance_drift,2024-05,5753.639017
ID0000016,5/26/2024,3,5,29294,55,0,0,0.866,0.898,1.1,0.463,3,3955.3,performance_drift,2024-05,5041.324948
ID0000017,1/6/2024,1,9,11321,61,0,1,1.173,0.836,1.1,0.376,4,4020.36,performance_drift,2024-01,5041.324948
ID0000018,2/3/2024,1,7,13317,49,4,0,1.006,0.928,1.8,0.143,0,6665.74,performance_drift,2024-02,6733.38182
ID0000019,7/11/2024,0,5,13369,36,4,2,1.442,1.172,1.4,0.048,30,6771.56,performance_drift,2024-07,5753.639017
ID0000020,6/16/2024,2,6,17776,24,3,0,0.75,0.859,1.8,0.329,3,7291.78,performance_drift,2024-06,6733.38182
ID0000021,12/11/2024,3,8,17513,44,2,2,1.17,1.178,1.8,0.348,1,6774.73,performance_drift,2024-12,6733.38182
ID0000022,3/27/2024,0,13,5041,68,2,1,0.866,0.871,1.8,0.128,0,5983.42,performance_drift,2024-03,6733.38182
ID0000023,11/25/2024,2,4,16111,21,2,2,1.125,1.24,1.8,0.241,3,7407.35,performance_drift,2024-11,6733.38182
ID0000024,4/19/2024,2,8,17006,23,2,2,1.205,1.183,1.4,0.237,7,7315.85,performance_drift,2024-04,5753.639017
ID0000025,2/14/2024,3,11,12464,77,1,2,1.222,1.04,1,0.157,0,4532.99,performance_drift,2024-02,5041.324948
ID0000026,3/2/2024,0,9,10360,58,2,1,0.985,1.144,1,0.231,1,4846.38,performance_drift,2024-03,5753.639017
ID0000027,5/20/2024,3,1,39324,22,1,1,0.98,1.003,1.8,0.167,0,6680.72,performance_drift,2024-05,6069.48688
ID0000028,3/10/2024,1,0,17542,43,2,0,0.856,0.935,1.2,0.75,0,4848.7,performance_drift,2024-03,5753.639017
ID0000029,11/13/2024,2,3,20727,61,2,2,1.003,1.196,1.2,0.288,30,5849.09,performance_drift,2024-11,5753.639017
ID0000030,10/15/2024,1,0,20946,26,3,2,1.222,1.435,1.4,0.027,0,6306.76,performance_drift,2024-10,5753.639017
ID0000031,10/21/2024,2,0,34036,58,1,2,0.968,1.327,1.4,0.046,0,5492.64,performance_drift,2024-10,5041.324948
ID0000032,6/20/2024,1,5,16537,18,0,2,1.154,1.241,1,0.261,1,5385.73,performance_drift,2024-06,5041.324948
ID0000033,1/12/2024,2,13,10128,79,3,1,1.037,0.957,1.8,0.56,0,6348.14,performance_drift,2024-01,6733.38182
ID0000034,4/15/2024,1,9,6794,21,1,2,1.346,1.254,1.2,0.111,2,6159.07,performance_drift,2024-04,5041.324948
ID0000035,6/14/2024,2,5,25009,19,0,1,0.915,0.75,1.2,0.164,30,4998.56,performance_drift,2024-06,5041.324948
ID0000036,8/23/2024,1,12,6351,27,1,1,0.998,1.003,1.8,0.11,1,6147,performance_drift,2024-08,6069.48688
ID0000037,6/4/2024,0,11,8841,33,1,1,1.033,0.974,1.8,0.143,0,5972.83,performance_drift,2024-06,6069.48688
ID0000038,8/26/2024,1,10,11209,59,2,2,1.262,1.189,1.8,0.264,30,7056.66,performance_drift,2024-08,6733.38182
ID0000039,5/16/2024,2,12,9963,74,1,1,0.949,1.074,1.2,0.154,2,4745.75,performance_drift,2024-05,5041.324948
