Claim_ID,Policy_ID,Date_of_Loss,Report_Date,Total_Paid_Amount,Coverage_Type,Bodily_Injury_Limit_Per_Person,Property_Damage_Limit,Collision_Deductible,Policy_Tenure_Months,Driver_Age,Insurance_Score_Band,Vehicle_Age_Years,Vehicle_ACV,Vehicle_Segment,Urbanicity,Repair_Cost_Index,Medical_Cost_Index,Weather_Cat_Risk_Index,Report_Lag_Days,Collision_Type,Injury_Indicator,At_Fault_Indicator,Multi_Vehicle_Flag,Weather_At_LOSS,Prior_Claims_Count_36M,Moving_Violations_36M,Attorney_Rep_At_FNOL
CLM1000000,POL2000000,2025-09-04,2025-09-07,3825.36,PIP,50000,25000,500,142,23,D_BelowAvg,11,16865.0,SUV,Urban,1.114,1.073,0.439,3,SingleVehicle,False,ThirdParty,False,Clear,0,1,False
CLM1000001,POL2000001,2025-01-14,2025-02-13,2617.2,UM_UIM,50000,100000,1000,103,60,D_BelowAvg,6,12852.0,Sedan,Suburban,0.935,1.02,0.117,30,RearEnd,False,ThirdParty,True,Wind,0,1,False
CLM1000002,POL2000002,2025-02-26,2025-03-08,6416.03,Liability,100000,100000,500,162,64,D_BelowAvg,4,29426.0,Pickup,Suburban,1.033,0.986,0.266,10,SingleVehicle,False,Insured,False,Clear,0,0,False
CLM1000003,POL2000003,2025-07-31,2025-08-02,2407.02,UM_UIM,50000,250000,500,173,81,E_Poor,0,34717.0,Sports,Suburban,1.165,0.938,0.577,2,Sideswipe,False,Shared,False,Clear,2,1,False
CLM1000004,POL2000004,2024-12-11,2024-12-11,3734.98,Liability,50000,10000,0,83,74,C_Average,3,15488.0,Sedan,Urban,1.094,1.219,0.301,0,Sideswipe,False,Insured,True,Clear,1,0,False
CLM1000005,POL2000005,2025-05-04,2025-05-05,3555.61,Liability,50000,25000,500,137,62,A_VeryGood,3,32862.0,Pickup,Rural,0.897,0.926,0.435,1,Angle,False,ThirdParty,False,Fog,2,1,False
CLM1000006,POL2000006,2025-06-15,2025-06-17,5120.89,Liability,50000,50000,1000,55,45,A_VeryGood,16,15692.0,Luxury,Suburban,0.948,0.75,0.145,2,SingleVehicle,False,ThirdParty,False,Snow,0,0,False
CLM1000007,POL2000007,2024-03-28,2024-03-29,4370.34,PIP,25000,25000,500,156,62,C_Average,10,12491.0,SUV,Suburban,1.076,1.071,0.048,1,Other,False,Insured,True,Clear,0,3,False
CLM1000008,POL2000008,2023-11-25,2023-12-01,392.64,Comprehensive,25000,100000,1000,5,37,B_Good,11,18746.0,SUV,Rural,0.808,0.87,0.454,6,RearEnd,False,ThirdParty,True,Clear,0,1,True
CLM1000009,POL2000009,2024-05-22,2024-06-01,4561.6,Liability,100000,25000,2000,122,79,A_VeryGood,7,28196.0,SUV,Suburban,1.083,0.938,0.223,10,SingleVehicle,False,Insured,False,Clear,0,0,False
